,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Articles,Full Description,Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,G2 Stack - Total Products Active,Country,City,State,isInTop100,minEstimatedRevenueRange,maxEstimatedRevenueRange,minNumberEmployees,maxNumberEmployees,isCompanyTypeForProfit,isCompanyPrivate,hasWebsite,hasTwitter,hasFacebook,hasLinkedIn,hasContactEmail,hasPhoneNumber
0,La Haus,https://www.crunchbase.com/organization/la-haus,"Information Technology, Marketplace, Real Estate, Residential","Medellín, Antioquia, Colombia",La Haus is a residential marketplace used to help people find an ideal home.,"1,457",Latin America,Active,01/04/2017,day,8.0,"La Haus offers an online residential platform designed to help people to find an ideal home. Its platform lists multiple properties to choose from and provides recommendations from real estate specialists on the best alternatives that are completely free, enabling users to get an organized way to find a home and save money. The company was founded in 2017 and is headquartered in Medellín, Antioquia.","Commerce and Shopping, Information Technology, Real Estate",5.0,"Jeronimo Uribe, Rodrigo Sanchez-Rios, Rodrigo Sánchez-Ríos, Santiago García, Tomás Uribe",7,Early Stage Venture,14/01/2021,35000000,USD,35000000,Series B,35000000.0,USD,35000000.0,Series B,57649998.0,USD,57649998.0,58174998,USD,58174998,"Greenspring Associates, NFX, Spencer Rascoff, Kaszek Ventures, Acrew Capital",3.0,12.0,0.0,"1,575",62.0,10.0,Colombia,Medellín,Antioquia,1,1000000.0,10000000.0,101.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,Elenas,https://www.crunchbase.com/organization/elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Bogotá, Distrito Especial, Colombia","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",Latin America,Active,01/01/2018,year,7.0,"Elenas is Latin America's top social commerce platform. Our platform has empowered tens of thousands of women across Colombia to launch online businesses and earn extra income by selling products on WhatsApp, Facebook and other social media sites. Currently, 11 million women across Latin America sell consumer good products through direct sales catalogs and door-to-door sales. Elenas provides a digital solution for them to start an online store, manage clients, and grow their business from home, without having to worry about product sourcing, delivery, or payment collection.","Commerce and Shopping, Consumer Goods, Sales and Marketing",2.0,"Thomas Harsch, Zach Oschin",3,Early Stage Venture,04/03/2021,6000000,USD,6000000,Series A,6000000.0,USD,6000000.0,Series A,8540000.0,USD,8540000.0,8540000,USD,8540000,"FJ Labs, Polymath Ventures, Meesho, Alpha4 Ventures, Amador Holdings",1.0,6.0,0.0,"2,632",26.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,Dondo,https://www.crunchbase.com/organization/crowdswap,,"Bogotá, Distrito Especial, Colombia",Get what you want giving what you have,"3,109",Latin America,Active,01/04/2019,day,12.0,,,4.0,"Carlos Sánchez, Daniel Marulanda, Jesus Marquez, Parker Irving",2,Seed,19/01/2021,2100000,USD,2100000,Seed,2100000.0,USD,2100000.0,Seed,2100000.0,USD,2100000.0,2100000,USD,2100000,"Alpha Edison, AME Cloud Ventures, Jerry Yang, Acequia Capital (Acecap), Ryan Smith",1.0,13.0,0.0,"3,311",7.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,Aflore,https://www.crunchbase.com/organization/aflore,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449",Latin America,Active,01/01/2012,year,4.0,"Aflore is a financial services company empowering the un-banked of Colombia (65% of the population) to achieve financial goals. Aflore identifies and partners with trusted financial advisors within communities and mobilizes them with support and tools to distribute loans and financial products within their networks.  The company was founded in 2012 and is headquartered in Bogota, Colombia.","Financial Services, Lending and Investments",2.0,"Ana Barrera, Manuel Jimenez",12,,05/02/2021,6500000,USD,6500000,Venture - Series Unknown,6500000.0,USD,6500000.0,Venture - Series Unknown,10550000.0,USD,10550000.0,29092905,USD,29092905,"Polymath Ventures, Unreasonable Capital, Amador Holdings, Accial Capital, Women's World Banking",3.0,5.0,0.0,"3,661",47.0,10.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Backstartup,https://www.crunchbase.com/organization/backstartup,"Accounting, Financial Services, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",Latin America,Active,08/09/2014,day,2.0,"At Backstartup we want to reinvent the relationship of small businesses with their accounting and finances, and for this reason we've decided to reinvent the Accountant. Our SwaS, completely replaces the Accountant in Small Business, providing them with reports, taxes and financial statements month to month though our online platform. We eliminate manual tasks and human errors by using accounting automation bots and bank integrations and assign our customers a virtual administrative support team that accompanies them to guarantee a comprehensive service experience.  We are pioneers in Latin America, where paper culture is highly entrenched, in moving traditional offline behaviors to a 100% online experience.","Financial Services, Other, Professional Services",4.0,"Adriana Villamizar, Cristian Villamizar, Diego A Peñuela, Juana Barco",4,Seed,17/02/2021,1200000,USD,1200000,Seed,1200000.0,USD,1200000.0,Seed,2065000.0,USD,2065000.0,2105000,USD,2105000,"MassChallenge, 500 Startups, Alaya Capital Partners, devlabs, Life Is Too Short Capital",1.0,7.0,0.0,"3,824",44.0,33.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,Polymath Ventures,https://www.crunchbase.com/organization/polymath-ventures,"FinTech, Rental Property, Transportation","Bogotá, Distrito Especial, Colombia",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354",Latin America,Active,01/10/2011,day,10.0,"Polymath Ventures is a digital venture group that fuses business and design-thinking to build high-impact ventures for the emerging markets middle class. Ventures are designed in-house using a proprietary business design methodology, then founding teams are recruited to lead them. Polymath remains deeply involved in our companies throughout their life cycles, providing strategy, operations & design-thinking methodologies support.  Operating since 2012 and with offices in Bogota and Mexico City, Polymath has launched 9 ventures and raised US$30M+ of equity and debt financing across the group.","Financial Services, Real Estate, Transportation",2.0,"Carlos Fernandez de la Pradilla, Wenyi Cai",4,Early Stage Venture,01/01/2020,3700000,USD,3700000,Series B,3700000.0,USD,3700000.0,Series B,9425000.0,USD,9425000.0,9425000,USD,9425000,,0.0,0.0,0.0,"4,602",47.0,15.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Liftit,https://www.crunchbase.com/organization/liftit-co,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation","Bogotá, Distrito Especial, Colombia",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",Latin America,Active,07/01/2017,day,8.0,"Liftit is a B2B logistics company that connects providers of cargo transportation services with companies or people who need this service. It is a marketplace that connects shippers who need to deliver home goods, electronics, construction materials, and anything that fits into a truck with independent truck drivers who can fulfill those needs. The company's platform is intended to use technological innovation to connect, optimize, measure analyze, and solve problems in the logistics industry. Founded in 2017, Liftit is headquartered in Bogotá, Colombia.","Internet Services, Transportation",3.0,"Angel Celis Botto, Brian York, Felipe Betancourt Celis",3,Early Stage Venture,08/07/2020,22500000,USD,22500000,Series B,22500000.0,USD,22500000.0,Series B,39000000.0,USD,39000000.0,39000000,USD,39000000,"Western Technology Investment, Monashees, Cambridge Capital, NXTP Ventures, Brian Requarth",3.0,26.0,0.0,"5,855",57.0,0.0,Colombia,Bogotá,Distrito Especial,1,0.0,1000000.0,251.0,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Chiper,https://www.crunchbase.com/organization/chiper,"B2B, E-Commerce, Retail Technology","Cundinamarca, Distrito Especial, Colombia",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199",Latin America,Active,01/01/2018,year,19.0,"Chiper is Latin America’s top e-commerce platform enabling corner stores in the region to grow and thrive. With over 3,000 customers across Colombia and Mexico, the company has built the largest network of digitized corner stores in Latin America. Through its demand-driven logistics platform, Chiper provides a compelling customer experience to help member stores make smart decisions to optimize performance.","Commerce and Shopping, Hardware, Other, Software",3.0,"Carolina Garcia, Jose Jair Bonilla, Oscar Sarria Guerrero",3,Early Stage Venture,16/10/2020,12000000,USD,12000000,Series A,12000000.0,USD,12000000.0,Series A,25000000.0,USD,25000000.0,25000000,USD,25000000,"FJ Labs, Monashees, JAM Fund, Kaszek Ventures, Justin Mateen",4.0,9.0,0.0,"6,525",88.0,5.0,Colombia,Cundinamarca,Distrito Especial,1,50000000.0,100000000.0,101.0,250.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,Habi,https://www.crunchbase.com/organization/habi-fefd,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software","Bogotá, Distrito Especial, Colombia",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387",Latin America,Active,01/07/2019,month,2.0,"Habi is a technology-driven real estate company that helps middle-class customers buy and sell their homes more quickly and efficiently, without the uncertainty of traditional real estate transactions. Using its proprietary pricing algorithm and scalable processes. It was founded in 2019 and headquartered in Bogotá, Distrito Especial.","Financial Services, Real Estate, Software",2.0,"Brynne Rojas, Sebastian Noguera Escallón",2,Early Stage Venture,26/08/2020,10000000,USD,10000000,Series A,10000000.0,USD,10000000.0,Series A,15500000.0,USD,15500000.0,15500000,USD,15500000,"FJ Labs, 8VC, Tiger Global Management, Flybridge, HOF Capital",2.0,15.0,0.0,"7,770",30.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Valiu,https://www.crunchbase.com/organization/valiu,"Cryptocurrency, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Valiu is a developing a digital remittance platform that enables migrants to send money via cash, debit, or credit.","7,499",Latin America,Active,17/09/2018,day,6.0,"Valiu is a fintech company that provides borderless financial services to all Venezuelans. It has created a mobile application that allows access to a convenient dollar savings and transfer system for any migrant or family member, regardless of their socioeconomic status or the range of their phone.  The company was co-founded by Simon Chamorro, David Barinas, and Alberto Niego in 2018.","Financial Services, Payments, Software",3.0,"Alberto Niego, Omar David Barinas Orjuela, Simon Chamorro",2,Seed,04/12/2020,5250000,USD,5250000,Seed,5250000.0,USD,5250000.0,Seed,6477000.0,USD,6477000.0,6477000,USD,6477000,"Soma Capital, Y Combinator, Castle Island Ventures, Blockchange Ventures, Mercy Corps Ventures",3.0,9.0,0.0,"7,884",32.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,Rappi,https://www.crunchbase.com/organization/rappi,"Consumer Goods, E-Commerce, Food Delivery","Bogotá, Distrito Especial, Colombia",Rappi is a consumer tech company that specializes in providing online delivery services.,"7,739",Latin America,Active,01/01/2015,year,93.0,"Rappi is a consumer tech company that specializes in providing online delivery services. It connects consumers who want to purchase prepared foods, groceries, clothes, and virtually anything with independent contractors who can fulfill those needs. The company was founded in 2015 with its main offices in Bogota, Colombia.","Commerce and Shopping, Consumer Goods, Food and Beverage, Transportation",3.0,"Felipe Villamarin, Sebastian Mejia, Simon Borrero",9,Late Stage Venture,24/09/2020,300000000,USD,300000000,Series F,300000000.0,USD,300000000.0,Series F,1692005447.0,USD,1692005447.0,1692005447,USD,1692005447,"SoftBank, Sequoia Capital, FJ Labs, Andreessen Horowitz, FundersClub",8.0,38.0,2.0,"8,134",66.0,39.0,Colombia,Bogotá,Distrito Especial,1,10000000.0,50000000.0,5001.0,10000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,RobinFood,https://www.crunchbase.com/organization/muy,"Food and Beverage, Food Delivery, Restaurants, Retail Technology","Bogotá, Distrito Especial, Colombia",RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.,"8,657",Latin America,Active,01/03/2018,month,7.0,"RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food. Its restaurants leverage its own technology through which customizable orders could be placed by choosing various dishes based on their features and nutrients through a touch screen that enables customers to receive a meal in less than five minutes after ordering. RobinFood was founded in 2018 and is headquartered in Bogotá, Colombia.","Commerce and Shopping, Food and Beverage, Hardware, Software, Transportation",2.0,"Jose Guillermo Calderon, Miguel Mc Allister",4,Early Stage Venture,02/10/2020,16000000,USD,16000000,Debt Financing,15000000.0,USD,15000000.0,Series B,20000000.0,USD,20000000.0,36000000,USD,36000000,"ALLVP, Seaya Ventures, MGM Innova Group",2.0,3.0,0.0,"9,099",13.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,501.0,1000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
12,Zinobe,https://www.crunchbase.com/organization/zinobe,"Big Data, Credit, Financial Services, FinTech, Insurance, Payments","Bogotá, Distrito Especial, Colombia",Digital financial services company in the Colombian market. Developed a data centric credit model to help target underserved markets.,"9,826",Latin America,Active,01/07/2011,day,1.0,"Zinobe has operated in Colombia since 2012 and develops online financial products for the consumer and small business sectors. The company is focused on using technology to provide the highest level of customer experience and has developed a data centric credit model to help target underserved markets in Colombia. Zinobe is backed by firms such as QED Investors, a U.S. based venture capital firm specializing in disruptive financial services companies in the U.S., U.K. and Latin America. For more information, please visit www.zinobe.com, www.lineru.com.","Data and Analytics, Financial Services, Lending and Investments, Payments",2.0,"Martin Schrimpff, Tarek El Sherif",3,Early Stage Venture,01/04/2020,30000000,USD,30000000,Debt Financing,0.0,,0.0,Series A,0.0,,0.0,30000000,USD,30000000,"QED Investors, Ali Saadat Meli, Martin Schrimpff",2.0,3.0,0.0,"10,301",6.0,18.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,101.0,250.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
13,Tul,https://www.crunchbase.com/organization/tul-302e,"Building Material, Construction, E-Commerce, Hardware, Mobile Apps","Bogotá, Distrito Especial, Colombia",Tül offers an application where users can buy hardware and construction products directly from their phone.,"10,269",Latin America,Active,22/01/2020,day,1.0,"Tül offers an application where users can buy hardware and construction products directly from their phone, at the time that best suits them and their business. It is their right hand for the purchase of all hardware and construction products. Users will find the best prices on their purchases, they can buy what they want when they want it and they will receive what it is when it is.","Apps, Commerce and Shopping, Hardware, Mobile, Real Estate, Software",3.0,"Enrique Villamarin Lafaurie, Juan Carlos Narváez, Nicolas Villegas",1,Seed,27/10/2020,4000000,USD,4000000,Seed,4000000.0,USD,4000000.0,Seed,4000000.0,USD,4000000.0,4000000,USD,4000000,"Vine Ventures, Jose Llorens",1.0,2.0,0.0,"10,758",32.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,101.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Omni Latam,https://www.crunchbase.com/organization/omni-latam,"Commercial Lending, Finance, Financial Services, FinTech, Risk Management","Bogotá, Distrito Especial, Colombia",Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions.,"10,777",Latin America,Active,01/01/2018,year,10.0,"Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions for companies, facilitating access to financing wherever you are, without moving and with approval in less than an hour.","Financial Services, Lending and Investments, Professional Services",3.0,"Andrés Abumohor, Charlie A Cliff, Diego Caicedo",4,M&A,03/09/2018,200000000,USD,200000000,Debt Financing,1600000.0,USD,1600000.0,Seed,1650000.0,USD,1650000.0,201650000,USD,201650000,"Magma Partners, BTG Pactual",2.0,2.0,0.0,"11,276",17.0,0.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,101.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,LAIKA,https://www.crunchbase.com/organization/laika,"Consumer Goods, E-Commerce, Pet, Retail","Bogotá, Distrito Especial, Colombia",LAIKA is an e-commerce platform for pets that offers a variety of products and services.,"11,647",Latin America,Active,30/08/2017,day,2.0,"LAIKA is like a dog with two tails right now. Its platform for pet products and services has been growing in recent months and it’s drawn the necessary investment to keep up its momentum. LAIKA built a digital platform where users don’t have to go anywhere else to meet said needs. With two main sections; products and services. In the products section, we have more than 4,000 references (among which you can find most of the brands of food, snacks, medicines, accessories and others). In the services section, we have more than 17 services, all the healthcare, beauty and entertainment services. All of the above delivered straight to your home and with the flexibility of choosing the date and time on and at which you wish to receive the order, including same-day deliveries for the main cities and accepting all payment methods, both online and cash on delivery.","Commerce and Shopping, Community and Lifestyle, Consumer Goods",2.0,"Camilo Sanchez, Manuela Sanchez Villamarin",4,Seed,09/07/2020,7000000,USD,7000000,Seed,7000000.0,USD,7000000.0,Seed,7000000.0,USD,7000000.0,7000000,USD,7000000,"Soma Capital, Y Combinator, JAM Fund, Pioneer Fund, Palm Drive Capital",1.0,10.0,0.0,"12,179",53.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
16,Finsocial,https://www.crunchbase.com/organization/finsocial,"Banking, Financial Services","Barranquilla, Atlantico, Colombia",Finsocial provides credit solutions including payroll loan for teachers and pensioners.,"12,053",Latin America,Active,01/01/2012,year,3.0,Finsocial provides credit solutions including payroll loan for teachers and pensioners.,"Financial Services, Lending and Investments",0.0,,2,,18/08/2020,20000000,USD,20000000,Debt Financing,0.0,,0.0,,0.0,,0.0,145000000,USD,145000000,"Morgan Stanley, Symbiotics Group, Bancóldex",3.0,3.0,0.0,"12,604",32.0,0.0,Colombia,Barranquilla,Atlantico,0,0.0,0.0,251.0,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Leal,https://www.crunchbase.com/organization/leal,"Analytics, Information Services, Information Technology, Internet","Bogotá, Distrito Especial, Colombia","Leal is a digital platform for retailers in Latin America to identify, engage and reward their most valuable customers.","12,766",Latin America,Active,15/06/2016,day,14.0,"Leal is the largest and fastest growing loyalty network in Colombia with over 400 participating brands. For affiliated merchants, Leal provides the technology they need to compete in a digital world. Their digital platform combines business analytics, a powerful CRM, and Point of Sale (POS) system integration to enable merchants to grow their business and communicate effectively with their customers. For registered users, Leal brings together multiple loyalty programs in a single app/card that allows them to earn rewards for their purchases at their favorite merchants.","Data and Analytics, Information Technology, Internet Services",2.0,"Camilo Martinez, Florence Frech",6,Early Stage Venture,19/11/2020,5500000,USD,5500000,Series B,5500000.0,USD,5500000.0,Series B,10000000.0,USD,10000000.0,12000000,USD,12000000,FCP Emprendimiento e Innovación SP,1.0,1.0,0.0,"13,344",14.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,Superfuds,https://www.crunchbase.com/organization/superfüds,"B2B, B2C, Consumer Goods","Bogotá, Distrito Especial, Colombia",Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,"13,445",Latin America,Active,06/01/2016,day,7.0,Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,"Consumer Goods, Other",1.0,Sebastian Hernandez,5,Early Stage Venture,22/12/2020,3300000,USD,3300000,Series A,3300000.0,USD,3300000.0,Series A,5290000.0,USD,5290000.0,5290000,USD,5290000,"K50 Ventures, Marstar Investments",2.0,2.0,0.0,"14,048",29.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,101.0,250.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
19,Cubbo,https://www.crunchbase.com/organization/cubbo,"B2B, Logistics, Real Estate","Bogotá, Distrito Especial, Colombia",Re-purposing distressed real estate assets into micro-fulfillment spaces throughout Latin America.,"13,719",Latin America,Active,01/01/2021,day,0.0,"Cubbo is a startup that focuses on repurposing distressed real estate assets (e.g., unused brick-and-mortar outlets or abandoned strip malls) and turning them into spaces suited for new industries, such as urban micro-fulfillment spaces for online retail.","Other, Real Estate, Transportation",1.0,Brian York,1,Seed,18/01/2021,2000000,USD,2000000,Pre-Seed,2000000.0,USD,2000000.0,Pre-Seed,2000000.0,USD,2000000.0,2000000,USD,2000000,"Graph Ventures, Brian Requarth, Florian Hagenbuch, Julio Vasconcellos, Manolo Atala",0.0,21.0,0.0,"14,332",0.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
20,Maestrik,https://www.crunchbase.com/organization/maestrik,"Apps, Education, Internet, Mobile, Software","Bogotá, Distrito Especial, Colombia","You will find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.","13,776",Latin America,Active,17/06/2017,day,1.0,"Maestrik helps you find the classes, courses and workshops that increase your learning level, so you can project yourself and achieve your goals.","Apps, Education, Internet Services, Mobile, Software",2.0,"Camilo Sardi Orozco, Mario Andrés Tobón Orozco",4,Seed,07/11/2019,1319970,USD,1319970,Debt Financing,750000.0,USD,750000.0,Seed,1300000.0,USD,1300000.0,2619970,USD,2619970,COLABORATIVOx,0.0,1.0,0.0,"14,390",29.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Avista,https://www.crunchbase.com/organization/avista-ca36,"Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Avista is a technology-based financial company reinventing people's financial lives through an ecosystem of simple, digital credit solutions","13,927",Latin America,Active,01/02/2019,month,1.0,"Founded in 2019, Avista is a tech-based financial company focused on reinventing people’s lives through an ecosystem of simple and digital financial solutions.  Its purpose is to guarantee access to credit products to all segments of Colombia’s population, including rural and intermediate cities. Thanks to its state of the art technology, it has been able to develop products at better prices, agile disbursement mechanisms while guaranteeing a satisfactory experience for all its clients. We are here for you!",Financial Services,0.0,,1,,23/04/2020,75000000,USD,75000000,Debt Financing,0.0,,0.0,,0.0,,0.0,75000000,USD,75000000,,0.0,0.0,0.0,"14,546",31.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000000.0,10000000000.0,251.0,500.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
22,Truora,https://www.crunchbase.com/organization/truora,"Developer Platform, Information Services, Security","Cali, Valle del Cauca, Colombia","Truora provides fast, innovative, and safe solution in background checks and identity theft detection.","14,245",Latin America,Active,01/01/2018,year,6.0,"Truora provides fast, innovative, and safe solution in background checks and identity theft detection.  The company's platform supports over 10,000 checks per hour. Through the company's technical and analytical skills, the company has a unique response capacity, ensuring that the user receives the best service. Truora 's clients include national and international retailers, banks, and marketplaces; providing custom made solutions to their human resources, risk and digital teams.","Information Technology, Privacy and Security, Software",4.0,"Cesar Pino, Daniel Bilbao, Daniel Bilbao, Maite Muniz Telleria",3,Seed,01/06/2019,3300000,USD,3300000,Seed,3300000.0,USD,3300000.0,Seed,3450000.0,USD,3450000.0,3450000,USD,3450000,"Y Combinator, Accel, Magma Partners, Kaszek Ventures, MAYA Capital",3.0,6.0,0.0,"14,871",57.0,0.0,Colombia,Cali,Valle del Cauca,1,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
23,Ayenda Hotels,https://www.crunchbase.com/organization/ayenda,"Hospitality, Hotel, Travel","Medellín, Antioquia, Colombia",Fastest growing budget hotel chain.,"14,676",Latin America,Active,01/05/2015,day,7.0,"Ayenda is the fastest growing hotel chain in Latin America. Based in Colombia, Ayenda Currently is the larger hotel chain in this country by the number of properties. Ayenda franchise small hotels in main cities to ensure quality on the basics needs for travelers. Ayenda is a technology company, this enables run the chain by the proprietary software in all areas, from hotel software, pricing algorithms, and user-facing experience.",Travel and Tourism,1.0,Andrés Sarrazola,2,Early Stage Venture,19/02/2020,8700000,USD,8700000,Series A,8700000.0,USD,8700000.0,Series A,10000000.0,USD,10000000.0,10000000,USD,10000000,"SoftBank, 500 Startups, Kaszek Ventures, K50 Ventures, Irelandia Aviation",2.0,7.0,0.0,"15,318",20.0,9.0,Colombia,Medellín,Antioquia,0,0.0,1000000.0,101.0,250.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
24,Finaktiva,https://www.crunchbase.com/organization/finaktiva,"Financial Services, FinTech, Information Technology, Lending, Small and Medium Businesses","Medellín, Antioquia, Colombia",Online lending platform for high impact SMEs in Colombia,"14,873",Latin America,Active,01/01/2017,year,10.0,"Finaktiva is the fintech ally for Colombian entrepreneurs. It offers flexible and agile online loans adjusted to the cashflow and capital needs of small and medium companies, plus advisory tools to support their growth. It looks for businesses with an innovative model, two digits growth rates, and positive impact in their communities.","Financial Services, Information Technology, Other",1.0,Pablo Santos Ramon,3,Early Stage Venture,30/06/2019,9000000,USD,9000000,Series A,9000000.0,USD,9000000.0,Series A,15000000.0,USD,15000000.0,15000000,USD,15000000,"Triodos Investment Management, Alphamundi, GRUPO BANCOLOMBIA, Aktiva Asset Management, Confiar",2.0,6.0,1.0,"15,520",21.0,0.0,Colombia,Medellín,Antioquia,1,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,ontop,https://www.crunchbase.com/organization/top-e6ff,"Human Resources, SaaS","Bogotá, Distrito Especial, Colombia","Taxes, Onboarding and Payroll manager for international teams","16,267",Latin America,Active,01/07/2020,day,2.0,"Hire legally anywhere in the world. We empower you to think global. Hire, manage and pay the best talent from any country you can dream of. Taxes, onboarding and payroll for global teams","Administrative Services, Software",3.0,"Jaime Abella, Julian Torres, Santiago Aparicio",2,Seed,14/12/2020,1000000,USD,1000000,Pre-Seed,1000000.0,USD,1000000.0,Pre-Seed,1300000.0,USD,1300000.0,1300000,USD,1300000,Y Combinator,0.0,1.0,0.0,"16,957",35.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
26,Sempli,https://www.crunchbase.com/organization/sempli,"Financial Services, FinTech, Lending, Online Portals, Small and Medium Businesses","Medellín, Antioquia, Colombia",Sempli is the leading online lending platform for small businesses in Colombia.,"16,658",Latin America,Active,01/01/2017,day,5.0,Sempli is an online lending platform for small businesses in Colombia.,"Financial Services, Internet Services, Other",2.0,"Esteban Velasco, Felipe Llano",6,Early Stage Venture,30/04/2019,6500000,USD,6500000,Series A,6500000.0,USD,6500000.0,Series A,8800000.0,USD,8800000.0,24000000,USD,24000000,"Oikocredit International, Alphamundi, IDB Lab, Incofin Investment Management, Impulsum Ventures",0.0,11.0,0.0,"17,357",37.0,0.0,Colombia,Medellín,Antioquia,1,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
