,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Articles,Full Description,Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,G2 Stack - Total Products Active,Country,City,State,isInTop100,minEstimatedRevenueRange,maxEstimatedRevenueRange,minNumberEmployees,maxNumberEmployees,isCompanyTypeForProfit,isCompanyPrivate,hasWebsite,hasTwitter,hasFacebook,hasLinkedIn,hasContactEmail,hasPhoneNumber
195,Eslik,https://www.crunchbase.com/organization/ipesa,"Internet, Security, Tourism, Travel","Bogotá, Distrito Especial, Colombia",An app for preventive protection in Colombia,"146,718",Latin America,Active,13/11/2014,day,0.0,"Eslik is a platform that connects their customers with qualified personnel that offers protection for your safety needs. Bogota as the capital of Colombia and one of the mains cities in Latin America has a lot to offer, the economic growth, gastronomic choices and great landmarks make the city one of the top choices for travellers.  When you are making bank transactions? When you´re in business with people you don't know? Do you want to visit all places in the city and want to feel safe? or even when you are on a party? Now you can get safety a click away, it's simple, place your location, ask for an expert operator in preventive protection and allow yourself to feel safe.","Internet Services, Privacy and Security, Travel and Tourism",1.0,Vytautas Klimavicius,1,,01/04/2015,500000,USD,500000,Grant,0.0,,0.0,,0.0,,0.0,500000,USD,500000,,0.0,0.0,0.0,"154,849",9.0,8.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
196,codetag,https://www.crunchbase.com/organization/codetag,"Career Planning, Education, Skill Assessment, Software","Bogotá, Distrito Especial, Colombia",Codetag is a platform that enables code developers to measure and improve their programming skills.,"147,626",Latin America,Closed,09/08/2012,day,0.0,"Codetag is the place to find developers with amazing skills Good developers are a rare breed to find, they hangout mostly with other good developers, they are rarely looking for a job, they like to work during the day and Work during the night, they like to compete, they assist, hold and create hacking events, at Codetag we gather all this information to create a fun experience for them to improve their skills and show off their amazing abilities","Education, Professional Services, Software",4.0,"David Roncancio, Giovanny Beltran, Gustavo Angulo, Julian Vargas",1,Seed,11/09/2012,50000,USD,50000,Seed,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,50000,USD,50000,Wayra,0.0,1.0,0.0,"155,849",23.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
197,Houstronomy,https://www.crunchbase.com/organization/houstronomy,,"Bogotá, Distrito Especial, Colombia",Technological platform that unites users with people willing to provide and teach food services in their homes,"147,969",Latin America,Active,04/09/2019,day,0.0,,,1.0,Sebastián Arias Gómez,1,Seed,30/09/2019,100000,USD,100000,Seed,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,100000,USD,100000,,0.0,0.0,0.0,"156,219",0.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
198,SinRopa,https://www.crunchbase.com/organization/quiickly,"E-Commerce, Sex Industry","Cali, Valle del Cauca, Colombia",SinRopa is a subscription service promoting safe sex and new experiences for couples.,"156,153",Latin America,Active,10/07/2015,day,10.0,"Latam company with operations in Chile (SinRopa) and Colombia (Quiickly)  that promotes safe sex with fun boxes and products that provide new experiences for couples. Sinropa was born in July 2015 as an innovative solution for those intimate moments, providing love and fun in one box, a special option for him, for her, for everyone. Seeking to offer a new way to love, embrace the Latam market as a whole to deal with sex education and generate new forms of awareness that promote a dignified and safe sexuality in society. The brand focuses on responsible sexuality, offering boxes designed especially for those couples looking to enjoy their privacy, leave routines and protected. mixing the best brands and a great team in one place to guarantee for customers the best experience.","Commerce and Shopping, Community and Lifestyle",1.0,Miguel Rengifo,1,,06/12/2016,35000,USD,35000,Grant,0.0,,0.0,,0.0,,0.0,35000,USD,35000,Start-Up Chile,0.0,1.0,0.0,"165,227",11.0,0.0,Colombia,Cali,Valle del Cauca,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
199,Tus reQRdos,https://www.crunchbase.com/organization/tusreqrdos,"Digital Media, Social Media, Social Network","Medellín, Antioquia, Colombia","TusReQRdos is the site where you can create an ""Online Memory"" to honor and remember the lives of your loved ones.","156,877",Latin America,Active,01/03/2014,day,4.0,"TusReQRdos is the site where you can create an Online Memorial to honor and remember the life of your loved ones. Your reQRdos.com ""Online Memory"" does not remove any memory unless it is requested by the family. Your ""Online Memory"" will remain until fulfilled the three years of its creation, at which time you will receive a notification that you renew your membership.","Internet Services, Media and Entertainment",3.0,"David Maya, Luz Cadavid, Ron Oliver",1,Seed,01/03/2014,25000,USD,25000,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000,USD,25000,NXTP Ventures,0.0,1.0,0.0,"166,005",7.0,4.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,NUA Technology,https://www.crunchbase.com/organization/nua-technology,Information Technology,"Bogotá, Distrito Especial, Colombia",NUA Technology is a family of products as a service that allows companies to improve customer service in an agile and efficient way.,"159,385",Latin America,Active,10/01/2018,day,0.0,NUA Technology is a family of products as a service that allows companies to improve customer service in an agile and efficient way. It offers Smart Customer Service Assistant powered by AI. Its purpose is to support organizations in their innovation processes and digital transformation through the adoption of new technologies enhancing companies' efficiency in a competitive global market.,Information Technology,2.0,"Carlos Bálcazar Cardenas, Felipe Díaz Sánchez",1,Seed,01/08/2019,40000,USD,40000,Angel,40000.0,USD,40000.0,Angel,40000.0,USD,40000.0,40000,USD,40000,,0.0,0.0,0.0,"168,768",23.0,7.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
201,StartupCali,https://www.crunchbase.com/organization/startupcali,"Marketplace, Product Design, Real Estate","Cali, Valle del Cauca, Colombia",StartupCali is a website where web designers and marketers can network and collaborate.,"164,346",Latin America,Closed,,,0.0,"At StartupCali on the weekend of 10-12 Oct 2014, they designed, developed, and deployed www.CaliCasa.com, an online real estate marketplace for Colombia","Commerce and Shopping, Design, Real Estate",4.0,"Andres Gonzalez, Blake Newman, Daniel Garcia, Luis Cuellar",1,Seed,01/09/2014,40000,USD,40000,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,40000,USD,40000,inQbation Labs,1.0,1.0,0.0,"174,236",7.0,3.0,Colombia,Cali,Valle del Cauca,0,0.0,0.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
202,Downloadperu.com,https://www.crunchbase.com/organization/downloadperu-com-2,"News, Publishing","Perú, Valle del Cauca, Colombia","Downloadperu.com designs and develops a platform for digital publishing, consulting, and distribution.","165,405",Latin America,Active,01/01/2013,year,0.0,"Downloadperu is an online retailer that enables its users to purchase books, music, and movies. It was launched in 2013 and is based in Peru.","Content and Publishing, Media and Entertainment",0.0,,2,,01/04/2015,137000,PEN,44254,Grant,0.0,,0.0,,0.0,,0.0,92938,USD,92938,Wayra,0.0,1.0,0.0,"175,390",5.0,0.0,Colombia,Perú,Valle del Cauca,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
203,Oppten,https://www.crunchbase.com/organization/oppten,"Consulting, Information Services, Recruiting","Bogotá, Distrito Especial, Colombia","Oppten busca de forma automatica las oportunidades de contratacion de los portales estatales, las analiza y notifica a las micro, pequeña,","168,945",Latin America,Active,01/01/2012,year,0.0,"Oppten busca de forma automatica las oportunidades de contratacion de los portales estatales, las analiza y notifica a las micro, pequeña, medianas empresas y grandes corporaciones de las oportunidades de vender sus productos y servicios, según su perfil, geolocalizacion y presupuesto. SoloContrataMe se apoya tambien en los tratados de libre comercio para notificar a las empresas con potencial exportador de las oportunidades que tienen en otros mercados donde tienen preferencias. Actualmente SoloContrataMe busca las oportunidades de Colombia, Peru y Ecuador.  SoloContrataMe quiere que las empresas de cualquier tamaño participen activamente de las compras estatales para que nuestros gobiernos usen mejor el dinero publico.","Information Technology, Professional Services",2.0,"Henry Canastero, Nicolas Gutierrez",1,Seed,01/03/2013,25000,USD,25000,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000,USD,25000,NXTP Ventures,0.0,1.0,0.0,"179,246",3.0,5.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
204,Cingle,https://www.crunchbase.com/organization/cingle,"Apps, Dating, Information Technology","Bogotá, Distrito Especial, Colombia","Cingle is an app to find, meet and share virtual drinks with singles at nightclubs","169,371",Latin America,Active,01/02/2016,day,0.0,"Cingle is an app to find, meet and exchange virtual drinks with singles in the best clubs.","Apps, Community and Lifestyle, Information Technology, Software",1.0,Juan Aristizabal,1,,15/03/2016,35000,USD,35000,Convertible Note,0.0,,0.0,,0.0,,0.0,35000,USD,35000,,0.0,0.0,1.0,"179,713",4.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
